Adana Site  ADNTOCDELLAPP01, ADNTOCDELLAPP02, ADNTOCDELLAPP03,ADNTOCDELLAPP04,ADNTOCDELLOSS01;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ADNTOCDELLCLD01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
19,10;17,30;2,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ADNTOCDELLAPP01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
43,90;38,90;5,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ADNTOCDELLAPP02;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
69,00;68,60;387,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ADNTOCDELLAPP03;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
57,40;57,10;339,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ADNTOCDELLAPP04;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
57,40;57,10;339,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ADNTOCDELLOSS01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,40;50,60;758,00;;;;;;;;;;;;;;;
