Esenyurt Site ESNTOCDELLAPP01, ESNTOCDELLAPP02, ESNTOCDELLAPP03,ESNTOCDELLAPP04,ESNTOCDELLOSS01;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ESNTOCDELLCLD01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,70;50,90;779,40;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ESNTOCDELLAPP01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
87,90;68,40;19,50;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ESNTOCDELLAPP02;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,70;50,90;800,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ESNTOCDELLAPP03;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,70;51,30;344,50;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ESNTOCDELLAPP04;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,70;51,30;344,50;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ESNTOCDELLOSS01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
109,20;108,80;366,10;;;;;;;;;;;;;;;
