Gaziemir Site IZMTOCDELLAPP01, IZMTOCDELLAPP02, IZMTOCDELLAPP03,IZMTOCDELLAPP04,IZMTOCDELLOSS01;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
IZMTOCDELLCLD01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
19,10;17,40;1,70;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
IZMTOCDELLAPP01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
67,00;51,20;15,90;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
IZMTOCDELLAPP02;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
30,10;29,30;800,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
IZMTOCDELLAPP03;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,70;51,30;374,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
IZMTOCDELLAPP04;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,70;51,30;374,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
IZMTOCDELLOSS01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
51,70;51,20;455,70;;;;;;;;;;;;;;;
