Pursaklar Site ANKTOCDELLAPP01, ANKTOCDELLAPP02, ANKTOCDELLAPP03,ANKTOCDELLAPP04,ANKTOCDELLOSS01;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ANKTOCDELLCLD01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
33,60;28,80;4,80;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ANKTOCDELLAPP01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
77,60;62,60;15,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ANKTOCDELLAPP02;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (GB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
2,70;215,70;218,40;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ANKTOCDELLAPP03;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
67,20;64,70;2,50;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ANKTOCDELLAPP04;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
67,20;64,70;2,50;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ANKTOCDELLOSS01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
241,00;214,00;26,80;;;;;;;;;;;;;;;
