Tuzla Site TZLTOCDELLAPP01, TZLTOCDELLAPP02, TZLTOCDELLAPP03,TZLTOCDELLAPP04,TZLTOCDELLOSS01;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TZLTOCDELLCLD01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
38,50;33,20;5,30;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TZLTOCDELLAPP01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
103,10;84,70;18,40;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TZLTOCDELLAPP02;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
275,90;258,20;17,70;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TZLTOCDELLAPP03;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
60,30;56,00;4,30;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TZLTOCDELLAPP04;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
206,00;107,00;99,60;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TZLTOCDELLOSS01;;;;;;;;;;;;;;;;;
CAPACITY;;;PERFORMANCE;;;;;;;;;;;;;;
Total (TB);Free (TB);Used (TB);Latency;I/O Size;Total IOPS;CPU Utilization;;;;;;;;;;;
206,00;107,00;99,60;;;;;;;;;;;;;;;
