Adana ADNTOCDELLAPP03;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 09:43:08;;;;;;;;;;
2025-10-04 10:00:00;0,38;0,38;0,26;502;528;3;0.166;0.158;0.008;%0.0
2025-10-04 11:00:00;0,38;0,38;0,26;502;528;3;0.166;0.158;0.008;%1.0
2025-10-04 12:00:00;0,38;0,38;0,27;502;529;3;0.166;0.158;0.008;%1.0
2025-10-04 13:00:00;0,38;0,38;0,26;502;528;3;0.167;0.158;0.008;%1.0
2025-10-04 14:00:00;0,38;0,39;0,26;502;528;4;0.167;0.158;0.008;%1.0
2025-10-04 15:00:00;0,38;0,39;0,26;502;528;4;0.167;0.159;0.008;%0.0
2025-10-04 16:00:00;0,38;0,38;0,27;501;528;3;0.166;0.157;0.008;%0.0
2025-10-04 17:00:00;0,38;0,38;0,27;501;528;3;0.165;0.157;0.008;%0.0
2025-10-04 18:00:00;0,38;0,39;0,27;501;528;3;0.168;0.159;0.008;%0.0
2025-10-04 19:00:00;0,38;0,39;0,26;501;529;4;0.106;0.100;0.006;%0.0
2025-10-04 20:00:00;0,39;0,4;0,25;500;530;4;0.084;0.079;0.005;%0.0
2025-10-04 21:00:00;0,39;0,4;0,25;500;530;4;0.084;0.079;0.005;%0.0
2025-10-04 22:00:00;0,39;0,4;0,26;504;530;4;0.083;0.079;0.004;%0.0
2025-10-04 23:00:00;0,39;0,4;0,27;508;530;4;0.082;0.079;0.003;%0.0
2025-10-05 00:00:00;0,39;0,4;0,27;506;530;4;0.082;0.079;0.004;%0.0
2025-10-05 01:00:00;0,39;0,4;0,27;505;530;4;0.083;0.079;0.004;%0.0
2025-10-05 02:00:00;0,39;0,4;0,26;504;530;4;0.083;0.079;0.004;%0.0
2025-10-05 03:00:00;0,39;0,4;0,26;504;531;4;0.083;0.079;0.004;%0.0
2025-10-05 04:00:00;0,39;0,4;0,27;501;530;5;0.084;0.079;0.005;%0.0
2025-10-05 05:00:00;0,39;0,4;0,26;503;530;4;0.083;0.079;0.004;%0.0
2025-10-05 06:00:00;0,39;0,4;0,26;500;530;4;0.083;0.079;0.005;%0.0
2025-10-05 07:00:00;0,39;0,4;0,26;500;530;4;0.083;0.078;0.005;%0.0
2025-10-05 08:00:00;0,39;0,4;0,26;501;530;4;0.084;0.079;0.005;%0.0
2025-10-05 09:00:00;0,39;0,4;0,26;501;530;4;0.084;0.079;0.005;%0.0
2025-10-05 10:00:00;0,39;0,4;0,26;501;530;4;0.083;0.079;0.005;%0.0
2025-10-05 11:00:00;0,39;0,4;0,26;500;530;4;0.084;0.079;0.005;%0.0
2025-10-05 12:00:00;0,39;0,4;0,26;502;531;4;0.083;0.079;0.005;%0.0
2025-10-05 13:00:00;0,37;0,38;0,27;505;527;4;1.635;1.567;0.068;%0.0
2025-10-05 14:00:00;0,38;0,39;0,26;503;529;4;0.166;0.157;0.008;%1.0
2025-10-05 15:00:00;0,38;0,39;0,26;503;529;4;0.167;0.158;0.008;%1.0
2025-10-05 16:00:00;0,38;0,39;0,26;503;528;3;0.166;0.158;0.008;%1.0
2025-10-05 17:00:00;0,38;0,39;0,27;503;529;3;0.166;0.158;0.008;%1.0
2025-10-05 18:00:00;0,38;0,39;0,26;503;528;3;0.167;0.159;0.008;%1.0
2025-10-05 19:00:00;0,38;0,38;0,26;503;528;3;0.166;0.158;0.008;%1.0
2025-10-05 20:00:00;0,38;0,38;0,26;502;528;3;0.166;0.158;0.008;%1.0
2025-10-05 21:00:00;0,38;0,38;0,26;502;528;3;0.166;0.158;0.008;%1.0
2025-10-05 22:00:00;0,38;0,38;0,26;503;528;3;0.167;0.159;0.008;%1.0
2025-10-05 23:00:00;0,38;0,38;0,26;503;528;3;0.167;0.158;0.008;%1.0
2025-10-06 00:00:00;0,38;0,39;0,28;498;525;12;0.168;0.159;0.009;%1.0
2025-10-06 01:00:00;0,38;0,39;0,33;502;528;20;0.167;0.159;0.009;%1.0
2025-10-06 02:00:00;0,39;0,39;0,34;502;528;20;0.167;0.158;0.009;%1.0
2025-10-06 03:00:00;0,39;0,39;0,33;501;528;20;0.166;0.158;0.009;%1.0
2025-10-06 04:00:00;0,39;0,39;0,33;500;528;20;0.168;0.159;0.009;%1.0
2025-10-06 05:00:00;0,39;0,39;0,33;502;528;20;0.168;0.159;0.009;%1.0
2025-10-06 06:00:00;0,39;0,39;0,33;501;528;20;0.167;0.158;0.009;%1.0
2025-10-06 07:00:00;0,39;0,39;0,33;500;527;20;0.167;0.159;0.009;%1.0
2025-10-06 08:00:00;0,39;0,39;0,33;501;529;19;0.167;0.158;0.009;%1.0
2025-10-06 09:00:00;0,39;0,39;0,34;502;529;20;0.166;0.158;0.009;%1.0
2025-10-06 10:00:00;0,39;0,39;0,33;502;528;20;0.166;0.158;0.009;%1.0
2025-10-06 11:00:00;0,39;0,39;0,34;502;528;20;0.167;0.158;0.009;%1.0
2025-10-06 12:00:00;0,39;0,39;0,33;502;529;20;0.167;0.158;0.009;%1.0
