Adana ADNTOCDELLOSS01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 09:51:47;;;;;;;;;;
2025-10-04 10:00:00;0,33;1,07;0,18;84;444;10;0.732;0.125;0.607;%1.0
2025-10-04 11:00:00;0,33;1,17;0,18;85;503;10;0.715;0.110;0.606;%1.0
2025-10-04 12:00:00;0,33;1,17;0,18;86;505;10;0.718;0.110;0.608;%1.0
2025-10-04 13:00:00;0,33;1,17;0,18;86;507;10;0.720;0.110;0.610;%1.0
2025-10-04 14:00:00;0,33;1,1;0,18;85;475;10;0.729;0.118;0.611;%1.0
2025-10-04 15:00:00;0,33;1,17;0,18;86;503;10;0.718;0.111;0.607;%1.0
2025-10-04 16:00:00;0,33;1,16;0,18;84;490;10;0.714;0.111;0.603;%1.0
2025-10-04 17:00:00;0,33;1,17;0,18;86;502;10;0.719;0.111;0.608;%1.0
2025-10-04 18:00:00;0,33;1,16;0,18;86;503;10;0.720;0.111;0.608;%1.0
2025-10-04 19:00:00;0,33;1,18;0,18;86;507;10;0.719;0.109;0.609;%1.0
2025-10-04 20:00:00;0,33;1,12;0,18;86;479;11;0.728;0.117;0.611;%1.0
2025-10-04 21:00:00;0,33;1,17;0,18;85;502;10;0.720;0.110;0.610;%5.0
2025-10-04 22:00:00;0,33;1,17;0,18;86;504;10;0.715;0.110;0.606;%1.0
2025-10-04 23:00:00;0,33;1,17;0,18;85;504;10;0.715;0.110;0.606;%1.0
2025-10-05 00:00:00;0,33;1,18;0,18;85;504;10;0.715;0.108;0.607;%1.0
2025-10-05 01:00:00;0,33;1,17;0,18;86;501;10;0.719;0.111;0.608;%5.0
2025-10-05 02:00:00;0,33;1,16;0,18;85;498;10;0.725;0.112;0.613;%1.0
2025-10-05 03:00:00;0,33;1,02;0,18;84;417;10;0.742;0.135;0.607;%1.0
2025-10-05 04:00:00;0,33;1,13;0,18;85;479;10;0.718;0.116;0.602;%1.0
2025-10-05 05:00:00;0,33;1,15;0,18;85;488;10;0.718;0.114;0.605;%1.0
2025-10-05 06:00:00;0,33;1,16;0,18;85;491;10;0.720;0.112;0.607;%1.0
2025-10-05 07:00:00;0,37;0,62;0,18;98;218;10;1.055;0.446;0.609;%2.0
2025-10-05 08:00:00;0,33;1,17;0,18;85;506;10;0.718;0.109;0.609;%1.0
2025-10-05 09:00:00;0,33;1,1;0,18;84;462;10;0.733;0.121;0.612;%1.0
2025-10-05 10:00:00;0,33;1,15;0,18;86;491;10;0.714;0.113;0.602;%1.0
2025-10-05 11:00:00;0,33;1,17;0,18;86;505;10;0.719;0.111;0.609;%1.0
2025-10-05 12:00:00;0,33;1,17;0,18;86;507;10;0.721;0.110;0.611;%1.0
2025-10-05 13:00:00;0,33;1,17;0,18;86;507;10;0.721;0.110;0.611;%1.0
2025-10-05 14:00:00;0,33;1,12;0,18;85;476;10;0.728;0.117;0.611;%5.0
2025-10-05 15:00:00;0,33;1,18;0,18;84;502;10;0.718;0.109;0.609;%1.0
2025-10-05 16:00:00;0,33;1,15;0,18;86;493;10;0.716;0.113;0.603;%1.0
2025-10-05 17:00:00;0,33;1,17;0,18;85;505;10;0.717;0.110;0.608;%1.0
2025-10-05 18:00:00;0,33;1,17;0,18;85;506;9;0.722;0.110;0.612;%1.0
2025-10-05 19:00:00;0,33;1,17;0,18;86;508;9;0.717;0.110;0.608;%5.0
2025-10-05 20:00:00;0,33;1,16;0,18;86;506;10;0.720;0.110;0.609;%1.0
2025-10-05 21:00:00;0,33;1,15;0,18;85;492;10;0.721;0.113;0.608;%1.0
2025-10-05 22:00:00;0,33;1,17;0,18;86;506;10;0.710;0.109;0.600;%1.0
2025-10-05 23:00:00;0,33;1,18;0,18;86;507;10;0.713;0.110;0.603;%1.0
2025-10-06 00:00:00;0,33;1,17;0,18;86;503;10;0.716;0.111;0.604;%1.0
2025-10-06 01:00:00;0,33;1,16;0,18;86;497;10;0.720;0.113;0.608;%1.0
2025-10-06 02:00:00;0,33;1,08;0,18;84;454;10;0.739;0.124;0.615;%1.0
2025-10-06 03:00:00;0,33;1,01;0,18;84;418;10;0.743;0.135;0.608;%1.0
2025-10-06 04:00:00;0,33;1,15;0,18;86;487;10;0.709;0.113;0.596;%1.0
2025-10-06 05:00:00;0,33;1,12;0,18;86;478;10;0.715;0.117;0.598;%1.0
2025-10-06 06:00:00;0,33;1,15;0,18;86;492;10;0.715;0.113;0.602;%1.0
2025-10-06 07:00:00;0,37;0,62;0,18;98;218;10;1.056;0.446;0.610;%6.0
2025-10-06 08:00:00;0,33;1,17;0,18;86;504;10;0.718;0.111;0.607;%1.0
2025-10-06 09:00:00;0,33;1,17;0,18;86;507;10;0.718;0.110;0.608;%1.0
2025-10-06 10:00:00;0,33;1,08;0,18;85;450;10;0.727;0.124;0.603;%1.0
2025-10-06 11:00:00;0,33;1,17;0,18;85;501;10;0.721;0.111;0.610;%1.0
2025-10-06 12:00:00;0,33;1,17;0,18;86;504;10;0.721;0.111;0.610;%5.0
2025-10-06 13:00:00;0,33;1,17;0,18;86;506;10;0.719;0.110;0.609;%1.0
2025-10-06 14:00:00;0,33;1,11;0,18;85;475;10;0.730;0.118;0.612;%1.0
2025-10-06 15:00:00;0,33;1,18;0,18;85;504;10;0.719;0.109;0.610;%1.0
2025-10-06 16:00:00;0,33;1,15;0,18;86;493;10;0.718;0.113;0.605;%1.0
2025-10-06 17:00:00;0,33;1,17;0,18;85;501;10;0.717;0.109;0.608;%1.0
2025-10-06 18:00:00;0,33;1,17;0,18;85;502;10;0.720;0.111;0.609;%1.0
