Diyarbakir DYBTOCDELLAPP01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:31:03;;;;;;;;;;
2025-10-04 12:00:00;0,73;1,09;0,28;298;514;25;2.691;1.500;1.191;%7.0
2025-10-04 13:00:00;0,73;1,09;0,28;297;513;25;2.682;1.493;1.190;%7.0
2025-10-04 14:00:00;0,73;1,09;0,28;297;513;25;2.684;1.494;1.190;%7.0
2025-10-04 15:00:00;0,73;1,09;0,28;297;514;24;2.682;1.496;1.187;%7.0
2025-10-04 16:00:00;0,73;1,09;0,27;298;513;24;2.671;1.495;1.176;%7.0
2025-10-04 17:00:00;0,74;1,09;0,28;298;513;25;2.677;1.496;1.181;%7.0
2025-10-04 18:00:00;0,76;1,09;0,34;301;514;35;2.704;1.501;1.203;%7.0
2025-10-04 19:00:00;0,79;1,1;0,41;302;514;46;2.735;1.497;1.238;%8.0
2025-10-04 20:00:00;0,78;1,09;0,4;302;514;45;2.731;1.496;1.235;%8.0
2025-10-04 21:00:00;0,76;1,09;0,35;300;514;37;2.712;1.493;1.219;%7.0
2025-10-04 22:00:00;0,77;1,1;0,38;302;514;41;2.713;1.497;1.217;%7.0
2025-10-04 23:00:00;0,75;1,09;0,32;300;513;32;2.703;1.501;1.202;%7.0
2025-10-05 00:00:00;0,75;1,09;0,33;299;512;33;2.693;1.491;1.202;%7.0
2025-10-05 01:00:00;0,76;1,09;0,34;301;513;35;2.702;1.500;1.202;%7.0
2025-10-05 02:00:00;0,74;1,09;0,29;299;513;27;2.681;1.498;1.184;%7.0
2025-10-05 03:00:00;0,75;1,08;0,33;300;513;34;2.705;1.502;1.204;%8.0
2025-10-05 04:00:00;0,85;1,09;0,54;301;513;40;2.703;1.492;1.210;%8.0
2025-10-05 05:00:00;0,77;1,09;0,37;303;513;42;2.713;1.499;1.214;%8.0
2025-10-05 06:00:00;0,76;1,09;0,35;301;514;38;2.710;1.500;1.210;%7.0
2025-10-05 07:00:00;0,75;1,09;0,34;300;513;35;2.708;1.498;1.210;%7.0
2025-10-05 08:00:00;0,75;1,09;0,32;298;513;35;2.712;1.496;1.215;%7.0
2025-10-05 09:00:00;0,74;1,09;0,31;298;513;30;2.701;1.498;1.204;%7.0
2025-10-05 10:00:00;0,74;1,09;0,31;300;513;32;2.692;1.502;1.191;%7.0
2025-10-05 11:00:00;0,74;1,09;0,3;299;513;29;2.691;1.499;1.192;%7.0
2025-10-05 12:00:00;0,74;1,09;0,3;298;513;28;2.696;1.502;1.194;%7.0
2025-10-05 13:00:00;0,74;1,09;0,29;297;513;27;2.684;1.491;1.193;%7.0
2025-10-05 14:00:00;0,73;1,09;0,29;297;514;26;2.691;1.498;1.193;%7.0
2025-10-05 15:00:00;0,74;1,09;0,3;298;514;28;2.693;1.498;1.196;%7.0
2025-10-05 16:00:00;0,75;1,09;0,32;300;514;31;2.688;1.500;1.188;%7.0
2025-10-05 17:00:00;0,75;1,09;0,33;299;513;34;2.692;1.492;1.200;%7.0
2025-10-05 18:00:00;0,76;1,09;0,34;301;513;35;2.703;1.501;1.202;%7.0
2025-10-05 19:00:00;0,74;1,09;0,31;299;513;30;2.684;1.496;1.188;%7.0
2025-10-05 20:00:00;0,76;1,09;0,34;300;514;35;2.696;1.495;1.202;%7.0
2025-10-05 21:00:00;0,76;1,09;0,34;300;513;35;2.690;1.491;1.199;%7.0
2025-10-05 22:00:00;0,76;1,09;0,35;302;513;36;2.686;1.499;1.186;%7.0
2025-10-05 23:00:00;0,76;1,09;0,34;302;514;34;2.686;1.501;1.184;%7.0
2025-10-06 00:00:00;0,76;1,09;0,35;301;513;36;2.691;1.498;1.194;%7.0
2025-10-06 01:00:00;0,75;1,09;0,33;300;513;35;2.683;1.489;1.194;%8.0
2025-10-06 02:00:00;0,75;1,09;0,33;301;514;34;2.694;1.500;1.194;%7.0
2025-10-06 03:00:00;1,61;1,12;2,21;302;514;42;2.720;1.501;1.220;%8.0
2025-10-06 04:00:00;0,78;1,09;0,38;299;513;29;2.687;1.499;1.188;%7.0
2025-10-06 05:00:00;0,75;1,09;0,33;300;513;34;2.701;1.499;1.202;%8.0
2025-10-06 06:00:00;0,75;1,09;0,34;301;513;35;2.699;1.499;1.200;%7.0
2025-10-06 07:00:00;0,78;1,09;0,41;303;514;48;2.739;1.501;1.238;%8.0
2025-10-06 08:00:00;0,77;1,09;0,38;301;513;45;2.738;1.500;1.238;%8.0
2025-10-06 09:00:00;0,75;1,09;0,34;300;514;38;2.714;1.494;1.220;%7.0
2025-10-06 10:00:00;0,73;1,09;0,28;299;514;26;2.682;1.499;1.182;%7.0
2025-10-06 11:00:00;0,74;1,09;0,29;298;514;26;2.684;1.497;1.187;%7.0
2025-10-06 12:00:00;0,78;1,1;0,4;302;514;45;2.729;1.496;1.233;%8.0
2025-10-06 13:00:00;0,77;1,09;0,36;300;514;40;2.721;1.498;1.223;%7.0
2025-10-06 14:00:00;0,76;1,09;0,35;300;514;37;2.719;1.502;1.217;%7.0
2025-10-06 15:00:00;0,77;1,09;0,37;302;514;40;2.713;1.499;1.214;%8.0
2025-10-06 16:00:00;0,75;1,09;0,32;302;514;32;2.674;1.501;1.173;%7.0
2025-10-06 17:00:00;0,73;1,09;0,28;299;514;25;2.676;1.499;1.176;%7.0
2025-10-06 18:00:00;0,74;1,09;0,31;298;513;30;2.704;1.497;1.207;%7.0
