Gaziemir IZMTOCDELLAPP01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:12:11;;;;;;;;;;
2025-10-04 12:00:00;1,35;1,41;1,24;335;498;27;23.907;15.628;8.280;%67.0
2025-10-04 13:00:00;1,12;1,23;0,92;335;498;27;23.993;15.676;8.317;%59.0
2025-10-04 14:00:00;1,43;1,47;1,34;335;498;28;23.897;15.598;8.300;%57.0
2025-10-04 15:00:00;1,2;1,29;1,03;335;498;28;23.725;15.472;8.253;%34.0
2025-10-04 16:00:00;1,39;1,45;1,27;333;496;29;19.676;12.803;6.874;%30.0
2025-10-04 17:00:00;1,06;1,2;0,8;328;486;35;8.877;5.760;3.117;%26.0
2025-10-04 18:00:00;1,12;1,24;0,9;325;485;35;8.746;5.626;3.119;%29.0
2025-10-04 19:00:00;1,06;1,19;0,8;326;485;34;8.862;5.734;3.129;%26.0
2025-10-04 20:00:00;1,09;1,22;0,86;325;486;34;8.802;5.675;3.126;%28.0
2025-10-04 21:00:00;1,08;1,21;0,83;327;486;33;8.852;5.732;3.121;%27.0
2025-10-04 22:00:00;1,07;1,2;0,82;328;486;33;8.844;5.758;3.087;%27.0
2025-10-04 23:00:00;1,11;1,22;0,9;328;486;32;8.856;5.780;3.076;%29.0
2025-10-05 00:00:00;1,01;1,17;0,71;329;487;31;8.870;5.796;3.074;%24.0
2025-10-05 01:00:00;1,05;1,18;0,8;325;481;31;8.904;5.825;3.079;%25.0
2025-10-05 02:00:00;1,39;1,43;1,3;339;504;24;161.023;105.843;55.180;%29.0
2025-10-05 03:00:00;1,05;1,19;0,78;325;484;28;8.976;5.843;3.133;%26.0
2025-10-05 04:00:00;1,14;1,17;1,07;316;461;28;9.172;6.112;3.060;%25.0
2025-10-05 05:00:00;1,01;1,16;0,72;324;477;27;8.965;5.920;3.046;%25.0
2025-10-05 06:00:00;1,05;1,19;0,79;328;486;27;8.861;5.818;3.044;%28.0
2025-10-05 07:00:00;1,04;1,19;0,77;327;487;27;8.834;5.758;3.075;%27.0
2025-10-05 08:00:00;1,04;1,18;0,77;327;487;28;8.826;5.759;3.067;%26.0
2025-10-05 09:00:00;0,99;1,16;0,68;328;487;29;8.883;5.796;3.087;%23.0
2025-10-05 10:00:00;1,05;1,18;0,79;328;486;30;8.816;5.753;3.064;%25.0
