Pursaklar ANKTOCDELLAPP03;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 10:17:16;;;;;;;;;;
2025-10-04 11:00:00;0,87;3,33;0,27;91;389;19;7.307;1.418;5.888;%20.0
2025-10-04 12:00:00;0,86;2,87;0,26;106;394;19;7.672;1.785;5.886;%15.0
2025-10-04 13:00:00;0,85;3,12;0,25;97;395;19;7.400;1.537;5.863;%15.0
2025-10-04 14:00:00;0,87;2,93;0,27;104;396;19;7.557;1.706;5.851;%16.0
2025-10-04 15:00:00;0,85;3,14;0,25;96;390;19;7.407;1.542;5.865;%18.0
2025-10-04 16:00:00;0,85;3,38;0,26;88;385;19;7.225;1.372;5.853;%18.0
2025-10-04 17:00:00;0,84;3,43;0,25;87;388;19;7.194;1.330;5.864;%15.0
2025-10-04 18:00:00;0,92;3,65;0,35;86;386;23;7.149;1.238;5.912;%15.0
2025-10-04 19:00:00;1,02;3,92;0,46;85;381;28;7.134;1.151;5.983;%22.0
2025-10-04 20:00:00;1;3,71;0,44;89;385;27;7.246;1.250;5.996;%23.0
2025-10-04 21:00:00;0,91;3,5;0,33;91;391;24;7.286;1.333;5.953;%16.0
2025-10-04 22:00:00;1,01;3,57;0,45;91;389;26;7.282;1.311;5.970;%26.0
2025-10-04 23:00:00;0,92;3,12;0,33;100;394;22;7.540;1.576;5.964;%20.0
2025-10-05 00:00:00;1,62;3,3;1,21;103;391;34;7.756;1.497;6.260;%23.0
2025-10-05 01:00:00;1,19;2,88;0,68;112;400;24;7.799;1.824;5.975;%20.0
2025-10-05 02:00:00;0,9;2,64;0,3;118;401;20;8.007;2.043;5.964;%17.0
2025-10-05 03:00:00;0,94;2,9;0,36;108;398;22;7.751;1.774;5.977;%17.0
2025-10-05 04:00:00;1,18;3,02;0,65;107;393;25;7.663;1.697;5.966;%24.0
2025-10-05 05:00:00;1;3,31;0,44;98;394;26;7.348;1.431;5.917;%17.0
2025-10-05 06:00:00;0,96;3,41;0,4;94;392;24;7.276;1.371;5.905;%19.0
2025-10-05 07:00:00;1,02;3,44;0,46;91;385;23;7.283;1.368;5.915;%19.0
2025-10-05 08:00:00;0,93;3,38;0,36;93;395;23;7.307;1.385;5.922;%16.0
