Tuzla TZLTOCDELLAPP01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:23:02;;;;;;;;;;
2025-10-04 12:00:00;1,38;1,44;1,3;302;497;28;25.961;15.217;10.744;%70.0
2025-10-04 13:00:00;1,4;1,46;1,32;301;496;28;25.897;15.106;10.791;%70.0
2025-10-04 14:00:00;1,5;1,55;1,44;300;496;28;25.835;15.007;10.828;%71.0
2025-10-04 15:00:00;1,52;1,57;1,44;299;495;28;25.832;14.994;10.838;%71.0
2025-10-04 16:00:00;1,53;1,57;1,47;301;496;28;25.690;14.960;10.730;%71.0
2025-10-04 17:00:00;1,55;1,58;1,49;301;496;28;25.691;14.959;10.732;%71.0
2025-10-04 18:00:00;1,87;1,74;2,04;300;496;30;25.681;14.911;10.770;%72.0
2025-10-04 19:00:00;1,99;1,81;2,24;300;495;31;25.749;14.909;10.840;%72.0
2025-10-04 20:00:00;1,94;1,79;2,13;300;496;31;25.783;14.933;10.851;%72.0
2025-10-04 21:00:00;1,78;1,72;1,87;300;496;29;25.934;15.051;10.883;%72.0
2025-10-04 22:00:00;1,85;1,74;2;301;496;30;25.787;15.014;10.773;%72.0
2025-10-04 23:00:00;1,61;1,6;1,62;302;496;28;25.767;15.061;10.706;%71.0
2025-10-05 00:00:00;1,46;1,49;1,42;301;495;28;25.727;15.033;10.695;%68.0
2025-10-05 01:00:00;1,65;1,63;1,68;300;495;28;25.646;14.909;10.737;%70.0
2025-10-05 02:00:00;1,28;1,36;1,17;302;496;26;25.843;15.151;10.693;%67.0
2025-10-05 03:00:00;1,49;1,49;1,5;301;494;27;25.921;15.185;10.737;%70.0
2025-10-05 04:00:00;1,69;1,51;1,96;303;496;28;25.755;15.139;10.616;%68.0
2025-10-05 05:00:00;1,86;1,7;2,09;302;496;29;25.694;15.027;10.667;%71.0
2025-10-05 06:00:00;1,55;1,53;1,58;302;496;27;25.698;15.064;10.634;%69.0
2025-10-05 07:00:00;1,46;1,44;1,47;302;496;27;25.824;15.158;10.667;%68.0
2025-10-05 08:00:00;1,48;1,47;1,49;302;496;27;25.848;15.151;10.697;%70.0
2025-10-05 09:00:00;1,46;1,48;1,44;302;497;27;25.863;15.135;10.728;%70.0
2025-10-05 10:00:00;1,3;1,36;1,22;303;496;27;25.803;15.189;10.614;%67.0
2025-10-05 11:00:00;1,41;1,44;1,35;303;496;27;25.816;15.163;10.653;%72.0
2025-10-05 12:00:00;1,36;1,44;1,25;301;496;27;25.739;15.042;10.697;%68.0
2025-10-05 13:00:00;1,43;1,5;1,33;300;496;28;25.765;14.988;10.777;%70.0
2025-10-05 14:00:00;1,36;1,44;1,26;301;496;28;25.863;15.058;10.805;%70.0
2025-10-05 15:00:00;1,48;1,55;1,39;299;496;28;25.742;14.901;10.841;%70.0
2025-10-05 16:00:00;1,52;1,53;1,5;301;496;29;25.657;14.933;10.725;%71.0
2025-10-05 17:00:00;1,49;1,51;1,46;301;496;29;25.763;14.994;10.769;%70.0
2025-10-05 18:00:00;1,7;1,65;1,78;300;496;30;25.724;14.929;10.795;%72.0
2025-10-05 19:00:00;1,48;1,5;1,45;301;496;29;25.981;15.163;10.818;%73.0
2025-10-05 20:00:00;1,52;1,54;1,51;301;496;29;25.912;15.064;10.847;%70.0
2025-10-05 21:00:00;1,62;1,59;1,66;300;496;29;26.025;15.121;10.904;%74.0
2025-10-05 22:00:00;1,45;1,49;1,4;302;496;29;25.865;15.136;10.729;%69.0
2025-10-05 23:00:00;1,66;1,62;1,7;302;496;28;25.866;15.135;10.731;%75.0
2025-10-06 00:00:00;1,39;1,43;1,34;301;495;28;25.836;15.111;10.725;%67.0
2025-10-06 01:00:00;1,66;1,65;1,67;299;495;28;25.645;14.882;10.764;%71.0
2025-10-06 02:00:00;1,48;1,5;1,45;301;496;27;25.802;15.066;10.737;%68.0
2025-10-06 03:00:00;1,72;1,57;1,94;300;494;27;25.963;15.167;10.796;%70.0
2025-10-06 04:00:00;1,64;1,48;1,86;303;496;26;25.848;15.206;10.642;%74.0
2025-10-06 05:00:00;1,5;1,5;1,49;302;496;28;25.768;15.102;10.665;%67.0
2025-10-06 06:00:00;1,56;1,53;1,6;302;496;26;25.777;15.127;10.650;%71.0
2025-10-06 07:00:00;1,78;1,65;1,96;301;495;29;25.798;15.035;10.763;%70.0
2025-10-06 08:00:00;1,85;1,7;2,06;301;496;30;25.874;15.050;10.824;%72.0
2025-10-06 09:00:00;1,78;1,66;1,94;301;496;29;25.970;15.104;10.866;%72.0
2025-10-06 10:00:00;1,48;1,5;1,45;303;496;28;25.937;15.226;10.711;%71.0
2025-10-06 11:00:00;1,45;1,49;1,39;302;496;28;25.993;15.208;10.785;%72.0
2025-10-06 12:00:00;1,72;1,65;1,83;302;496;31;26.051;15.145;10.906;%72.0
2025-10-06 13:00:00;1,65;1,62;1,7;301;496;30;26.040;15.124;10.916;%72.0
2025-10-06 14:00:00;1,69;1,65;1,73;300;496;30;25.932;15.021;10.911;%73.0
2025-10-06 15:00:00;1,76;1,7;1,85;300;496;31;25.937;14.984;10.953;%72.0
2025-10-06 16:00:00;1,63;1,63;1,63;301;495;30;25.863;15.060;10.804;%72.0
2025-10-06 17:00:00;1,54;1,57;1,51;301;496;29;25.921;15.114;10.807;%72.0
2025-10-06 18:00:00;1,62;1,61;1,63;302;496;30;25.983;15.145;10.838;%72.0
2025-10-06 19:00:00;1,74;1,69;1,82;301;496;31;26.016;15.129;10.887;%72.0
2025-10-06 20:00:00;1,63;1,6;1,67;302;496;30;26.073;15.208;10.866;%72.0
2025-10-06 21:00:00;1,69;1,65;1,74;301;496;30;26.123;15.212;10.911;%72.0
2025-10-06 22:00:00;1,74;1,69;1,81;303;496;30;25.938;15.196;10.741;%74.0
