Tuzla TZLTOCDELLOSS01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 11:29:11;;;;;;;;;;
2025-10-04 12:00:00;2,58;1,86;3,04;205;439;58;15.800;6.090;9.710;%61.0
2025-10-04 13:00:00;2,89;2;3,47;209;437;63;15.189;5.934;9.255;%67.0
2025-10-04 14:00:00;3,14;2,09;3,81;210;437;65;15.094;5.871;9.223;%68.0
2025-10-04 15:00:00;2,8;1,92;3,35;207;438;63;15.675;6.014;9.661;%62.0
2025-10-04 16:00:00;3,17;2,15;3,82;211;437;67;14.856;5.783;9.073;%70.0
2025-10-04 17:00:00;3,39;2,62;3,9;212;431;67;15.104;6.002;9.102;%70.0
2025-10-04 18:00:00;2,98;1,98;3,59;206;438;63;15.559;5.925;9.634;%62.0
2025-10-04 19:00:00;3,15;2,15;3,8;213;438;67;14.604;5.758;8.847;%72.0
2025-10-04 20:00:00;2,58;1,9;3,01;205;437;61;15.702;6.028;9.674;%63.0
2025-10-04 21:00:00;3,15;2,83;3,37;213;428;62;14.819;6.096;8.723;%74.0
2025-10-04 22:00:00;2,16;1,8;2,4;204;439;54;15.681;6.120;9.561;%65.0
2025-10-04 23:00:00;1,95;1,68;2,13;202;439;51;16.150;6.291;9.859;%58.0
2025-10-05 00:00:00;1,91;1,77;2;202;435;49;15.749;6.243;9.506;%65.0
2025-10-05 01:00:00;1,77;1,62;1,86;196;437;42;16.572;6.453;10.120;%58.0
2025-10-05 02:00:00;1,73;1,67;1,78;201;436;44;16.222;6.494;9.728;%63.0
2025-10-05 03:00:00;2,61;2,55;2,65;214;427;65;16.583;6.822;9.761;%70.0
2025-10-05 04:00:00;2,68;2,48;2,83;215;415;65;15.762;6.765;8.997;%75.0
2025-10-05 05:00:00;2,73;2,42;2,94;213;419;71;16.004;6.519;9.484;%69.0
